ixfac_id,name,city,ix_id,fac_id,ixfac_created,ixfac_updated
7637,STT Delhi 2,Delhi,2587,6786,2026-04-17T05:12:59Z,2026-04-17T05:12:59Z
7638,STT Delhi 3,Delhi,2587,6787,2026-04-17T05:14:45Z,2026-04-17T05:14:45Z
7646,NTT Noida DC2A,Greater Noida,2587,15364,2026-04-28T14:37:11Z,2026-04-28T14:37:11Z
7647,Nxtra Data Mumbai DC 3,Mumbai,832,15540,2026-04-28T14:42:00Z,2026-04-28T14:42:00Z
7648,Nxtra Data Chennai DC 1,Chennai,2588,2497,2026-04-28T14:43:28Z,2026-04-28T14:43:28Z
7711,Nxtra Data Mumbai DC 2,Mumbai,832,2498,2026-06-02T13:06:48Z,2026-06-02T13:06:48Z
7724,CtrlS Hyderabad DC1,Hyderabad,1785,1256,2026-06-19T13:08:02Z,2026-06-19T13:08:02Z
7725,CtrlS Hyderabad DC3,Hyderabad,1785,9735,2026-06-19T13:08:17Z,2026-06-19T13:08:17Z
7736,CtrlS Noida DC1,Noida,2587,3941,2026-07-02T03:23:50Z,2026-07-02T03:23:50Z
7737,Nxtra Data Mumbai DC 1,Mumbai,832,14476,2026-07-02T03:30:27Z,2026-07-02T03:30:27Z
7738,Nxtra Data Noida DC 1,Noida,2587,13506,2026-07-04T17:26:06Z,2026-07-04T17:26:06Z
7761,Netmagic Chandivali - MUM DC09,Mumbai,1627,15362,2026-07-15T08:06:32Z,2026-07-15T08:06:32Z
7778,Equinix MB3 - Mumbai,Mumbai,832,16886,2026-07-27T19:44:03Z,2026-07-27T19:44:03Z
7784,Equinix CN1 - Chennai,Siruseri,2588,16763,2026-07-31T11:23:06Z,2026-07-31T11:23:06Z
7785,Netmagic Chennai,Chennai,2588,4701,2026-07-31T11:23:58Z,2026-07-31T11:23:58Z
7792,TATA Communications Chennai,Chennai,5079,552,2026-08-19T00:45:32Z,2026-08-19T00:45:32Z
7793,STT Chennai 1,Chennai,5079,6778,2026-08-19T00:45:40Z,2026-08-19T00:45:40Z
7794,Sify Tidel-DC- Chennai,Chennai,5079,2468,2026-08-19T00:45:52Z,2026-08-19T00:45:52Z
7804,Sify Infinit Spaces Limited- Noida 02,Noida,2587,17462,2026-08-26T09:57:05Z,2026-08-26T09:57:05Z
7808,Netmagic Bangalore DC02,Bangalore,5045,7988,2026-09-03T10:29:45Z,2026-09-03T10:29:45Z
7809,Netmagic Bangalore DC03,Bangalore,5045,7989,2026-09-03T10:39:00Z,2026-09-03T10:39:00Z
7810,Nxtra Data Bangalore DC 1,Bangalore,5045,2500,2026-09-03T10:39:10Z,2026-09-03T10:39:10Z
7811,CtrlS Bangalore DC1,Bangalore,5045,3942,2026-09-03T10:39:23Z,2026-09-03T10:39:23Z
